question,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,explanation
"True or false: EIGRP summarization occurs for network prefixes as it crosses all network interfaces.","True","False",,,,,,"False","False. Summarization of prefixes occurs as traffic is advertised out an interface with summarization configured."
"Which of the following routing protocols is classified as an EGP?","RIPv2","EIGRP","OSPF","IS-IS","BGP",,"BGP","BGP is the only Exterior Gateway Protocol listed here."
"All of the following routing protocols are classified as IGPs EXCEPT:","RIPv2","EIGRP","OSPF","IS-IS","BGP",,"BGP","RIP, EIGRP, OSPF, and IS-IS are all classified as Interior Gateway Protocols. BGP is an EGP."
"A path vector routing protocol finds the best loop-free path by using ______.","hop count","bandwidth","delay","interface cost","path attributes",,"path attributes","BGP is a path vector routing protocol that selects the best path based on path attributes such as MED, local preference, and AS_PATH length."
"A distance vector routing protocol finds the best loop-free path by using ______.","hop count","bandwidth","delay","interface cost","path attributes",,"hop count","Distance vector protocols, such as RIP, use only hop count to select the best path."
"A link-state routing protocol finds the best loop-free path by using ______.","hop count","bandwidth","delay","interface cost","path attributes",,"interface cost","Link-state routing protocols use the interface cost as the metric for shortest path first (SPF) calculations."
"A router uses _________ as the first criterion for forwarding packets.","path metric","administrative distance","longest match","hop count",,,"longest match","The Cisco CEF sorts all network prefixes from shortest match to longest match for programming of the FIB. The path with the longest match is more explicit than a generic path."
"A router uses _________ as the second criterion for forwarding packets, after longest match.","path metric","administrative distance","prefix length","hop count",,,"administrative distance","When two different routing protocols attempt to install the same route into the RIB, the route with the lowest AD is installed into the RIB."
"The ability to install multiple paths from the same routing protocol with the same path metric into the RIB is known as ______.","per-packet load balancing","round-robin load balancing","equal-cost multipathing","parallel link forwarding",,,"equal-cost multipathing","Equal-cost multipath is the installation of multiple paths (that are deemed the best path) into the RIB when they come from the same routing protocol."
"Which static route should be used to avoid unintentional forwarding paths with an Ethernet link failure?","A directly attached static route","A recursive static route","A fully specified static route","A static null route",,,"A fully specified static route","Ethernet links should not use a directly attached static route, and a link failure could result in the resolution of the next-hop IP address resolving to an unintentional link. The fully specified static route ensures that the next hop is resolvable using only the specified interface."
"Virtual routing and forwarding (VRF) is useful with _____ addresses.","MAC","IPv4","IPv6","IPv4 and IPv6",,,"IPv4 and IPv6","VRFs support multiprotocol (IPv4 and IPv6) addressing."
"Which of the following is not a switch role for VTP?","Client","Server","Proxy","Transparent","Off",,"Proxy","A switch can operate with the VTP roles client, server, transparent, and off."
"True or false: The VTP summary advertisement includes the VLANs that were recently added, deleted, or modified.","True","False",,,,,,"False","False. The VTP summary includes the VTP version, domain, configuration revision, and timestamp."
"True or false: There can be only one switch in a VTP domain that has the server role.","True","False",,,,,,"False","False. There can be multiple VTP servers in a VTP domain. They process updates from other VTP servers just as with a client."
"Which of the following is a common disastrous VTP problem with moving a switch from one location to another?","The domain certificate must be deleted and re-installed on the VTP server.","The moved switch sends an update to the VTP server and deletes VLANs.","The moved switch interrupts the VTP.","The moved switch causes an STP forwarding loop.",,,"The moved switch sends an update to the VTP server and deletes VLANs.","If the switch has a higher revision number than the current VTP domain, when a VLAN is deleted, it can send an update to the VTP server and remove that VLAN from all switches in the VTP domain."
"True or false: If two switches are connected and configured with the command switchport mode dynamic auto, the switches will establish a trunk link.","True","False",,,,,,"False","False. Dynamic auto requires the other side to initiate a request in order for a trunk link to form."
"The command ________ prevents DTP from communicating and agreeing upon a link being a trunk port.","switchport dtp disable","switchport disable dtp","switchport nonegotiate","no switchport mode trunk handshake","server",,"switchport nonegotiate","The command switchport nonegotiate disables DTP on a port."
"True or false: PAgP is an industry standard dynamic link aggregation protocol.","True","False",,,,,,"False","False. PAgP is a Cisco proprietary link bundling protocol."
"An EtherChannel bundle allows for link aggregation for all of the following port types EXCEPT:","Access","Trunk","Routed","Loopback",,,"Loopback","An EtherChannel bundle allows for a virtual port channel that acts as a Layer 2 (access or trunk) or Layer 3 routed interface."
"What are the two primary benefits of using an EtherChannel?","Increased bandwidth and reduction of topology changes/convergence","Smaller configuration and per-packet load balancing","Increased bandwidth and smaller configuration","Reduction of topology changes and per-packet load balancing",,,"Increased bandwidth and reduction of topology changes/convergence","An EtherChannel bundle provides increased bandwidth between devices and does not generate a topology change with the addition/removal of member links."
"One switch has EtherChannel configured as auto. What option on the other switch can be configured to establish an EtherChannel bundle?","Auto","Active","Desirable","Passive",,,"Desirable","Desirable. If one device is configured with PAgP auto, the other device must be configured with desirable to form an EtherChannel bundle."
"True or false: LACP and PAgP allow you to set the maximum number of member links in an EtherChannel bundle.","True","False",,,,,,"False","False. Only LACP allows you to set the maximum number of member links in an EtherChannel bundle."
"Which of the following are two key issues that MST solves?","Enables traffic load balancing for specific VLANs and reduces CPU/memory resources","Overcomes MAC address table scaling and detects unidirectional cabling issues","Prevents unauthorized switches and enables traffic load balancing",,,,"Enables traffic load balancing for specific VLANs and reduces CPU/memory resources","MST enables traffic load balancing for specific VLANs through assignment of VLANs to specific instances that might have different topologies. MST also reduces the amount of CPU and memory processing as multiple VLANs are associated with an MST instance."
"With MST, VLANs are directly associated with ______.","areas","regions","instances","switches",,,"instances","VLANs are associated with MST instances, and an instance defines the Layer 2 forwarding topology for the VLANs that are associated with it."
"What do CST and 802.1D have in common?","They support only one topology.","They support multiple topologies.","They allow for load balancing of traffic across different VLANs.","They provide switch authentication so that inter-switch connectivity can occur.",,,"They support only one topology.","The original 802.1D specification accounted for one topology for all the VLANs, and Common Spanning Tree (CST) uses one topology for building a loop-free topology."
"True or false: The MST root bridge advertises the VLAN-to-instance mappings to all other MST switches.","True","False",,,,,,"False","False. MST uses an internal spanning tree (IST) to advertise itself and other MST instances for building the topology. The local switch configuration associates VLANs with the MST instances."
"True or false: The MST configuration version is locally significant.","True","False",,,,,,"False","False. The MST configuration is relevant to the entire MST region and should be the same for all switches in the region."
"True or false: The MST topology can be tuned for root bridge placement, just like PVST+ and RSTP.","True","False",,,,,,"True","True. The MST topology can be tuned by setting priority, port cost, and port priority for each MST instance."
"In what way can an MST region interact with a PVST+/RSTP environment?","The MST region can be the root for all VLANs, OR the PVST+/RSTP topology can be the root for all VLANs.","The MST region can be the root for some VLANs, while the PVST+/RSTP topology is the root for others.","The MST region can only be the root bridge for all VLANs.",,,,"The MST region can be the root for all VLANs, OR the PVST+/RSTP topology can be the root for all VLANs.","MST can interact with PVST+/RSTP environments by acting as a root bridge for all VLANs or ensuring that the PVST+/RSTP environment is the root bridge for all VLANs. MST cannot be a root bridge for some VLANs and then let the PVST+/RSTP environment be the root bridge for other VLANs."
